,Validation,Training
95,0.7264999747276306,0.7118600010871887
96,0.7261000275611877,0.713100016117096
97,0.7278000116348267,0.7120199799537659
98,0.7364000082015991,0.7161399722099304
99,0.730400025844574,0.716159999370575
100,0.7343000173568726,0.7180399894714355
101,0.724399983882904,0.7186800241470337
102,0.7418000102043152,0.719980001449585
103,0.7282999753952026,0.7204599976539612
104,0.7444000244140625,0.7228000164031982
105,0.7365000247955322,0.7214599847793579
106,0.7433000206947327,0.7244399785995483
107,0.7461000084877014,0.7260800004005432
108,0.7439000010490417,0.7229999899864197
109,0.7361999750137329,0.7286400198936462
110,0.7382000088691711,0.7303199768066406
111,0.753000020980835,0.7289400100708008
112,0.7491999864578247,0.7311400175094604
113,0.7497000098228455,0.7313799858093262
114,0.7527999877929688,0.734220027923584
115,0.7360000014305115,0.7329199910163879
116,0.7506999969482422,0.7335799932479858
117,0.7473999857902527,0.7351199984550476
118,0.7508999705314636,0.7368000149726868
119,0.7505000233650208,0.7374399900436401
120,0.7541999816894531,0.733460009098053
121,0.7610999941825867,0.7364199757575989
122,0.7444999814033508,0.7379000186920166
123,0.7605000138282776,0.7406399846076965
124,0.754800021648407,0.7427200078964233
125,0.7623999714851379,0.7432000041007996
126,0.7663999795913696,0.7431399822235107
127,0.7660999894142151,0.7467600107192993
128,0.7554000020027161,0.7451199889183044
129,0.7631000280380249,0.7455000281333923
130,0.7590000033378601,0.7469000220298767
131,0.7513999938964844,0.746999979019165
132,0.7635999917984009,0.7481399774551392
133,0.7592999935150146,0.7488800287246704
134,0.755299985408783,0.7486799955368042
135,0.7602999806404114,0.7501999735832214
136,0.7656999826431274,0.7496200203895569
137,0.7669000029563904,0.7517399787902832
138,0.7656999826431274,0.7519800066947937
139,0.7610999941825867,0.7508800029754639
140,0.7793999910354614,0.7544999718666077
141,0.7706000208854675,0.7523199915885925
142,0.762499988079071,0.7563999891281128
143,0.7657999992370605,0.7548999786376953
144,0.7727000117301941,0.7550600171089172
145,0.7728999853134155,0.7567200064659119
146,0.762499988079071,0.7597000002861023
147,0.7652000188827515,0.7602800130844116
148,0.7738000154495239,0.7579399943351746
149,0.7781999707221985,0.7583600282669067
150,0.7659000158309937,0.7614799737930298
151,0.7742000222206116,0.7609599828720093
152,0.7713000178337097,0.7614799737930298
153,0.7692000269889832,0.7623999714851379
154,0.7767000198364258,0.7631400227546692
155,0.7764000296592712,0.7647600173950195
156,0.7835000157356262,0.7656199932098389
157,0.7840999960899353,0.768060028553009
158,0.7750999927520752,0.7626399993896484
159,0.7585999965667725,0.7670800089836121
160,0.7720000147819519,0.7704399824142456
161,0.7782999873161316,0.7679799795150757
162,0.7833999991416931,0.770799994468689
163,0.7785000205039978,0.7696200013160706
164,0.7868000268936157,0.7698799967765808
165,0.7833999991416931,0.7702800035476685
166,0.7883999943733215,0.7717199921607971
167,0.7651000022888184,0.7699400186538696
168,0.7872999906539917,0.7695599794387817
